,Region,dVCR,VCR,dUCR,UCR,loc
0,6795038,903104.0,0.000269286304196,1914,0.186005830904,"(40.079245283018864, 116.58640093786636)"
1,8180783,828104.0,0.000516209211912,1844,0.321185617104,"(39.904492362982928, 116.42051582649474)"
2,9077097,1292086.0,0.000901481631969,1674,0.417103984451,"(39.895507637017069, 116.31324736225089)"
3,6795037,628157.0,0.0010887846192,1509,0.479689018465,"(40.078796046720576, 116.58640093786636)"
4,8249328,411983.0,0.0012116291415,1328,0.534402332362,"(39.892362982929022, 116.41230949589684)"
5,7754664,495767.0,0.00135945626127,1371,0.576967930029,"(39.907637017070975, 116.47151230949591)"
6,9067300,655906.0,0.00155503340702,1547,0.613605442177,"(39.895058400718774, 116.31441969519344)"
7,7891864,377597.0,0.0016676247593,1265,0.643148688047,"(39.932794249775384, 116.45509964830012)"
8,8621568,356879.0,0.00177403844693,1141,0.669290573372,"(39.888769092542674, 116.36776084407973)"
9,8180784,571463.0,0.0019444364955,1480,0.692031098154,"(39.904941599281223, 116.42051582649474)"
10,9062405,480707.0,0.00208777304526,1349,0.712244897959,"(39.896406109613658, 116.31500586166472)"
11,6795035,605200.0,0.00226823074592,1363,0.72944606414,"(40.077897574123988, 116.58640093786636)"
12,8802907,412802.0,0.0023913194765,1162,0.745578231293,"(39.939532794249772, 116.34607268464245)"
13,8185723,315583.0,0.00248541957985,1215,0.759183673469,"(39.92336028751123, 116.41992966002346)"
14,8180782,700599.0,0.00269432322266,1728,0.771137026239,"(39.904043126684634, 116.42051582649474)"
15,8078004,386001.0,0.00280942046806,1298,0.78231292517,"(39.939982030548066, 116.43282532239157)"
16,8528505,332153.0,0.00290846139114,1196,0.792808551992,"(39.888319856244387, 116.37889800703401)"
17,7989586,1609159.0,0.00338827820069,656,0.802623906706,"(39.82587601078167, 116.44337631887457)"
18,9072199,466792.0,0.00352746559495,1288,0.81195335277,"(39.895507637017069, 116.31383352872216)"
19,6829325,520148.0,0.00368256260765,1283,0.820602526725,"(40.079694519317158, 116.58229777256741)"
20,8621591,339429.0,0.00378377307837,1082,0.828571428571,"(39.89910152740341, 116.36776084407973)"
21,7891773,322961.0,0.00388007314357,1072,0.835762876579,"(39.891913746630728, 116.45509964830012)"
22,9150595,454876.0,0.0040157074414,932,0.841788143829,"(39.90808625336927, 116.30445486518171)"
23,9096866,231885.0,0.00408485059064,808,0.84732750243,"(39.975022461814916, 116.31090269636577)"
24,7984926,302937.0,0.00417517992717,1084,0.85267249757,"(39.932794249775384, 116.44396248534585)"
25,8175883,1866816.0,0.00473182454534,1196,0.857434402332,"(39.90359389038634, 116.421101992966)"
26,8641291,283074.0,0.00481623115995,1076,0.861904761905,"(39.94761904761905, 116.36541617819461)"
27,8249326,306285.0,0.00490755879849,1095,0.866083576288,"(39.891464510332433, 116.41230949589684)"
28,8254393,207867.0,0.00496954029364,709,0.869873663751,"(39.967385444743933, 116.41172332942556)"
29,6790136,893666.0,0.00523601238802,1011,0.873469387755,"(40.077448337825693, 116.58698710433764)"
30,9062406,321077.0,0.00533175068471,964,0.876870748299,"(39.896855345911945, 116.31500586166472)"
31,7754662,413443.0,0.00545503054779,1302,0.879980563654,"(39.906738544474393, 116.47151230949591)"
32,8768558,238474.0,0.00552613839595,779,0.883090379009,"(39.911230907457323, 116.35017584994139)"
33,9106464,248039.0,0.00560009832261,800,0.885811467444,"(39.886073674752922, 116.30973036342321)"
34,7891841,297028.0,0.00568866572167,1038,0.88833819242,"(39.922461814914641, 116.45509964830012)"
35,9160391,239348.0,0.00576003417795,737,0.890767735666,"(39.90808625336927, 116.30328253223917)"
36,8641292,364893.0,0.00586883746904,1121,0.893100097182,"(39.948068283917337, 116.36541617819461)"
37,9028212,250407.0,0.00594350348267,932,0.895238095238,"(39.938185085354895, 116.31910902696366)"
38,9072198,494592.0,0.00609098024256,1092,0.897376093294,"(39.895058400718774, 116.31383352872216)"
39,8063272,326834.0,0.00618843515356,1185,0.899319727891,"(39.922911051212935, 116.4345838218054)"
40,6848910,461894.0,0.00632616206895,1210,0.901263362488,"(40.076549865229111, 116.5799531066823)"
41,8298697,84480.0,0.00635135219874,273,0.903109815355,"(40.067115902964957, 116.40644783118407)"
42,9057662,184450.0,0.00640635124515,691,0.904761904762,"(39.966037735849056, 116.315592028136)"
43,8112227,135996.0,0.00644690234472,575,0.906413994169,"(39.911680143755611, 116.42872215709262)"
44,8107355,204277.0,0.00650781337863,889,0.907968901846,"(39.92336028751123, 116.4293083235639)"
45,7989585,1316623.0,0.00690040220747,626,0.909426627794,"(39.825426774483375, 116.44337631887457)"
46,7896672,335178.0,0.00700034512088,1156,0.910787172012,"(39.892362982929022, 116.45451348182884)"
47,8347320,243621.0,0.0070729876944,934,0.912147716229,"(39.906738544474393, 116.40058616647129)"
48,6839100,443659.0,0.00720527732265,959,0.913411078717,"(40.070260557053011, 116.58112543962486)"
49,8709729,227411.0,0.00727308642074,759,0.914674441205,"(39.887421383647798, 116.35720984759672)"
50,7886999,209683.0,0.00733560940826,771,0.915840621963,"(39.94761904761905, 116.4556858147714)"
